Demographics- race of respondent (PTDTRACE),Total,No Response,Refused,Don't Know,Not in Universe,Yes,No
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Texas,22430561,1855529,107981,242779,3856434,11866904,4500934
White only,17739056,1410903,95048,178401,2980487,9612677,3461540
Black only,2856864,293944,9330,48563,360104,1513445,631478
"American Indian, Alaskan Native Only",134022,21861,3603,0,15766,64729,28063
Asian only,1275358,106871,0,0,455762,480245,232480
Hawaiian/Pacific Islander Only,14942,0,0,0,0,4538,10404
White-Black,147056,11122,0,6775,32660,53754,42745
White-AI,98208,5071,0,0,6581,40347,46209
White-Asian,88356,0,0,9040,5074,35896,38346
White-HP,0,0,0,0,0,0,0
Black-AI,33193,0,0,0,0,33193,0
Black-Asian,12174,0,0,0,0,8377,3797
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,11629,5757,0,0,0,0,5872
W-B-A,19703,0,0,0,0,19703,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Utah,2425751,313442,30762,40071,247720,1386205,407551
White only,2189946,286009,30762,36746,190521,1293135,352773
Black only,43273,12686,0,0,9809,9118,11660
"American Indian, Alaskan Native Only",56431,5864,0,0,4937,29881,15749
Asian only,53137,6047,0,0,35246,10191,1653
Hawaiian/Pacific Islander Only,59713,2836,0,0,3957,33392,19528
White-Black,8083,0,0,0,0,1895,6188
White-AI,3694,0,0,0,1754,1940,0
White-Asian,2597,0,0,0,0,2597,0
White-HP,7381,0,0,3325,0,4056,0
Black-AI,0,0,0,0,0,0,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,1496,0,0,0,1496,0,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Vermont,519314,73666,6099,7257,19420,341503,71369
White only,488400,62292,4763,5353,14683,331916,69393
Black only,7729,3302,612,0,2796,520,499
"American Indian, Alaskan Native Only",1782,545,0,0,0,1237,0
Asian only,11431,7035,0,0,698,3361,337
Hawaiian/Pacific Islander Only,350,0,0,0,0,0,350
White-Black,3254,492,724,795,1243,0,0
White-AI,3411,0,0,1109,0,1512,790
White-Asian,2957,0,0,0,0,2957,0
White-HP,0,0,0,0,0,0,0
Black-AI,0,0,0,0,0,0,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Virginia,6726644,648025,113021,67296,751261,4271517,875524
White only,4684702,407671,50089,35757,413755,3205999,571431
Black only,1277097,156038,62932,2882,152183,717052,186010
"American Indian, Alaskan Native Only",73566,0,0,0,38052,23098,12416
Asian only,531261,70572,0,28657,120083,253108,58841
Hawaiian/Pacific Islander Only,24738,0,0,0,0,15755,8983
White-Black,53229,0,0,0,21861,13392,17976
White-AI,17797,0,0,0,0,14160,3637
White-Asian,27861,0,0,0,5327,15749,6785
White-HP,0,0,0,0,0,0,0
Black-AI,13204,0,0,0,0,13204,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,23189,13744,0,0,0,0,9445
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Washington,6137464,690548,31949,75049,747653,3852952,739313
White only,4849391,524715,17314,50012,433077,3311494,512779
Black only,254956,42132,4349,0,46057,128938,33480
"American Indian, Alaskan Native Only",160015,14358,0,11264,8995,59028,66370
Asian only,559343,70213,10286,7374,225883,209756,35831
Hawaiian/Pacific Islander Only,90718,28466,0,0,5455,18849,37948
White-Black,44325,10664,0,0,0,19478,14183
White-AI,96530,0,0,0,19336,64333,12861
White-Asian,34359,0,0,0,8850,10188,15321
White-HP,4648,0,0,0,0,4648,0
Black-AI,6399,0,0,6399,0,0,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,4631,0,0,0,0,4631,0
Asian-HP,3527,0,0,0,0,3527,0
W-B-AI,18858,0,0,0,0,14037,4821
W-B-A,0,0,0,0,0,0,0
W-B-HP,5719,0,0,0,0,0,5719
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,4045,0,0,0,0,4045,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total West Virginia,1436925,202367,26583,21524,57807,773376,355268
White only,1357488,194332,26583,18923,43764,735522,338364
Black only,46392,8035,0,2601,4955,18104,12697
"American Indian, Alaskan Native Only",1081,0,0,0,0,0,1081
Asian only,4516,0,0,0,3660,856,0
Hawaiian/Pacific Islander Only,0,0,0,0,0,0,0
White-Black,10645,0,0,0,3003,6661,981
White-AI,15045,0,0,0,2425,10475,2145
White-Asian,1015,0,0,0,0,1015,0
White-HP,0,0,0,0,0,0,0
Black-AI,0,0,0,0,0,0,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,743,0,0,0,0,743,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Wisconsin,4666516,407547,67408,33964,244959,3252403,660235
White only,4105705,273992,60675,30090,174479,3006944,559525
Black only,267875,101128,6733,0,6646,114235,39133
"American Indian, Alaskan Native Only",41701,0,0,0,4412,13264,24025
Asian only,124003,13391,0,3874,50392,44403,11943
Hawaiian/Pacific Islander Only,7643,0,0,0,0,0,7643
White-Black,60514,12366,0,0,3688,26494,17966
White-AI,37826,0,0,0,5342,32484,0
White-Asian,21249,6670,0,0,0,14579,0
White-HP,0,0,0,0,0,0,0
Black-AI,0,0,0,0,0,0,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Wyoming,453003,58129,2978,4451,25319,280115,82011
White only,425572,55420,2007,4451,20586,264856,78252
Black only,2421,338,0,0,892,1191,0
"American Indian, Alaskan Native Only",9298,1664,390,0,868,4127,2249
Asian only,2046,0,0,0,1683,363,0
Hawaiian/Pacific Islander Only,510,0,0,0,0,510,0
White-Black,1360,0,0,0,0,1360,0
White-AI,9314,707,581,0,576,5940,1510
White-Asian,1445,0,0,0,714,731,0
White-HP,0,0,0,0,0,0,0
Black-AI,0,0,0,0,0,0,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,519,0,0,0,0,519,0
W-B-AI,518,0,0,0,0,518,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
