Demographics- race of respondent (PTDTRACE),Total,No Response,Refused,Don't Know,Not in Universe,Yes,No
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total District of Columbia,581794,29430,4794,14557,48391,448189,36433
White only,279276,14720,0,1714,26580,222726,13536
Black only,254722,12254,4027,12518,11561,192863,21499
"American Indian, Alaskan Native Only",1882,438,0,0,0,471,973
Asian only,36898,1114,403,325,9536,25095,425
Hawaiian/Pacific Islander Only,364,0,364,0,0,0,0
White-Black,2786,432,0,0,0,2354,0
White-AI,706,0,0,0,0,706,0
White-Asian,2491,472,0,0,714,1305,0
White-HP,514,0,0,0,0,514,0
Black-AI,672,0,0,0,0,672,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,621,0,0,0,0,621,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,862,0,0,0,0,862,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Florida,17765201,2856186,453027,282225,2119391,9721624,2332748
White only,14055896,2262827,345502,184131,1526128,7896524,1840784
Black only,2760254,474431,66044,79212,428308,1369801,342458
"American Indian, Alaskan Native Only",84326,4232,0,0,0,54124,25970
Asian only,596961,91970,37557,0,136711,255286,75437
Hawaiian/Pacific Islander Only,54209,6666,0,0,0,41345,6198
White-Black,158060,16060,3924,18882,21934,74414,22846
White-AI,13738,0,0,0,0,13738,0
White-Asian,0,0,0,0,0,0,0
White-HP,11214,0,0,0,0,5925,5289
Black-AI,4723,0,0,0,0,4723,0
Black-Asian,12054,0,0,0,6310,5744,0
Black-HP,13766,0,0,0,0,0,13766
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Georgia,8342252,1169418,89586,117038,942831,4878593,1144786
White only,4987339,733284,58460,50360,468076,3075345,601814
Black only,2648060,384392,31126,62291,135610,1601140,433501
"American Indian, Alaskan Native Only",107019,0,0,0,82627,7633,16759
Asian only,394877,35817,0,4387,177080,116138,61455
Hawaiian/Pacific Islander Only,26618,6910,0,0,13950,5758,0
White-Black,48693,4152,0,0,4223,24492,15826
White-AI,19494,4863,0,0,0,14631,0
White-Asian,9105,0,0,0,0,9105,0
White-HP,0,0,0,0,0,0,0
Black-AI,95770,0,0,0,61265,24351,10154
Black-Asian,0,0,0,0,0,0,0
Black-HP,5277,0,0,0,0,0,5277
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Hawaii,1088771,114224,3777,25986,108591,631426,204767
White only,264659,27361,0,3031,18993,175040,40234
Black only,17710,0,0,2902,0,11432,3376
"American Indian, Alaskan Native Only",6421,1084,0,0,0,2839,2498
Asian only,496237,57756,3777,13523,60533,268268,92380
Hawaiian/Pacific Islander Only,140051,12904,0,2776,17245,69989,37137
White-Black,0,0,0,0,0,0,0
White-AI,5013,1006,0,0,0,3297,710
White-Asian,42114,8932,0,0,3690,21793,7699
White-HP,19123,718,0,883,1852,14077,1593
Black-AI,0,0,0,0,0,0,0
Black-Asian,1176,0,0,0,1176,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,1242,0,0,0,0,1242,0
AI-HP,1109,0,0,0,0,1109,0
Asian-HP,36476,2650,0,1640,2309,27304,2573
W-B-AI,0,0,0,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,1256,0,0,0,0,0,1256
W-AI-A,1565,0,0,0,0,1565,0
W-AI-HP,2782,0,0,0,1144,1638,0
W-A-HP,44237,841,0,0,1649,30847,10900
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,972,972,0,0,0,0,0
Other 4 and 5 Race Combinations,6628,0,0,1231,0,986,4411
 -> Total -> Total Idaho,1416290,99149,18806,29215,117271,841794,310055
White only,1317635,90543,18226,27932,91154,804174,285606
Black only,11220,0,580,0,4465,3637,2538
"American Indian, Alaskan Native Only",34091,3348,0,1283,9218,12959,7283
Asian only,23192,0,0,0,10995,4916,7281
Hawaiian/Pacific Islander Only,3631,2504,0,0,0,0,1127
White-Black,6155,0,0,0,0,2890,3265
White-AI,18691,2754,0,0,1439,11543,2955
White-Asian,0,0,0,0,0,0,0
White-HP,1675,0,0,0,0,1675,0
Black-AI,0,0,0,0,0,0,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
